Product Name,Manufacturer,Manufacturer Website,Supplement Category,Serving Size,Effectiveness Rating,Number of Ingredients,Research Rating,Nutrition Label Transparency Score,Ranking within Supplement Category,Ranking within all Supplement Products,Updated Month Day,Updated Year,Manufacturer Social Media,Similarity Index,Number of Active Ingredients,Calories per Serving,Protein per Serving,Protein Percent of Calories,Protein Percent of Serving Size,Nutrition Label Fat Content Transparency Score,Fat (%),Carbohydrates (%),Protein (%),Macros details
1UP ISO Protein,1UP Nutrition,https://1upnutrition.com,Protein Supplements,32g,2.4 out of 3,,80 ,100%,11 out of 446 (top third within category),11 out of 4597 (top third of all products),December 14,2020,https://instagram.com/1upnutrition,,1,109,25.00g,92%,78%,100%,0,4,92,"1UP ISO Protein contains 109 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  4 calories (1.00g), and protein accounts for  100 calories (25.00g)."
100% Whey Isolate,High Quality Nutrition,https://www.hqnutrition.ca,Protein Supplements,30g,2.4 out of 3,,80 ,100%,12 out of 446 (top third within category),12 out of 4597 (top third of all products),March 14,2021,https://instagram.com/hq.nutrition,,1,121,27.00g,89%,90%,100%,7,3,89,"100 Percent Whey Isolate contains 121 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  4 calories (1.00g), and protein accounts for  108 calories (27.00g)."
R1 Pro6 Protein,Rule 1,https://www.ruleoneproteins.com,Protein Supplements,33g,2.2 out of 3,,64 ,100%,13 out of 446 (top third within category),14 out of 4597 (top third of all products),September 05,2020,https://instagram.com/ruleoneproteins,,5,120,25.00g,83%,76%,100%,8,10,83,"R1 Pro6 Protein contains 120 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  100 calories (25.00g)."
TB12 Plant Based-Protein,TB12,https://tb12sports.com,Protein Supplements,26g,3 out of 3,,20 ,100%,14 out of 446 (top third within category),28 out of 4597 (top third of all products),September 07,2020,https://instagram.com/tb12sports,,1,110,20.00g,73%,77%,100%,16,7,73,"TB12 Plant Based-Protein contains 110 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  8 calories (2.00g), and protein accounts for  80 calories (20.00g)."
Slow-Release Casein,Myprotein,https://www.myprotein.com,Protein Supplements,30g,2.8 out of 3,,60 ,0%,15 out of 446 (top third within category),32 out of 4597 (top third of all products),August 29,2020,https://instagram.com/myproteinus,,1,110,23.00g,84%,77%,100%,8,11,84,"Slow-Release Casein contains 110 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  92 calories (23.00g)."
R1 Casein,Rule 1,https://www.ruleoneproteins.com,Protein Supplements,34g,2.8 out of 3,,60 ,0%,16 out of 446 (top third within category),33 out of 4597 (top third of all products),September 05,2020,https://instagram.com/ruleoneproteins,,1,120,25.00g,83%,74%,100%,8,10,83,"R1 Casein contains 120 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  100 calories (25.00g)."
Micellar Casein,NutraBio,https://www.nutrabio.com/,Protein Supplements,33.14g,2.8 out of 3,,60 ,100%,17 out of 446 (top third within category),34 out of 4597 (top third of all products),October 24,2020,https://instagram.com/nutrabio,,1,120,25.00g,83%,75%,0%,8,7,83,"Micellar Casein contains 120 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
Kasein,Kaged Muscle,https://www.kagedmuscle.com/,Protein Supplements,33.2g,2.8 out of 3,,60 ,67%,18 out of 446 (top third within category),35 out of 4597 (top third of all products),August 29,2020,https://instagram.com/kagedmusclesupps,,1,120,25.00g,83%,75%,100%,4,10,83,"Kasein contains 120 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  12 calories (3.00g), and protein accounts for  100 calories (25.00g)."
Gold Standard 100% Casein Protein,Optimum Nutrition,https://www.optimumnutrition.com/,Protein Supplements,34g,2.8 out of 3,,60 ,0%,19 out of 446 (top third within category),36 out of 4597 (top third of all products),August 29,2020,https://instagram.com/optimumnutrition,,1,120,24.00g,80%,71%,100%,8,10,80,"Gold Standard 100 Percent Casein Protein contains 120 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  96 calories (24.00g)."
Casein Plus,Legion Athletics,https://legionathletics.com,Protein Supplements,37.35g,2.8 out of 3,,60 ,67%,20 out of 446 (top third within category),37 out of 4597 (top third of all products),August 25,2020,https://instagram.com/legionath,,1,140,26.00g,74%,70%,100%,13,14,74,"Casein Plus contains 140 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  20 calories (5.00g), and protein accounts for  104 calories (26.00g)."
Casein Edge,LionEdge Nutrition,https://lionedgenutrition.com/,Protein Supplements,34.5g,2.8 out of 3,,60 ,100%,21 out of 446 (top third within category),38 out of 4597 (top third of all products),October 18,2020,https://instagram.com/lionedge_nutrition,,1,130,24.00g,74%,70%,33%,5,14,74,"Casein Edge contains 130 calories per serving. Of that, fat accounts for 6.3 calories (0.700g), carbohydrates account for  18 calories (4.50g), and protein accounts for  96 calories (24.00g)."
Respect Protein,Pride Nutrition,https://pridenutrition.com,Protein Supplements,33.25g,2.6 out of 3,,70 ,33%,22 out of 446 (top third within category),40 out of 4597 (top third of all products),January 18,2020,https://instagram.com/pridenutrition,,2,113,25.00g,89%,75%,100%,8,4,89,"Respect Protein contains 113 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  4 calories (1.00g), and protein accounts for  100 calories (25.00g)."
Muscle Matrix,NutraBio,https://www.nutrabio.com/,Protein Supplements,31.3g,2.6 out of 3,,70 ,100%,23 out of 446 (top third within category),42 out of 4597 (top third of all products),October 24,2020,https://instagram.com/nutrabio,,2,120,25.00g,83%,80%,0%,4,7,83,"Muscle Matrix contains 120 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
Casein and Whey Protein,HTLT Supplements,https://www.htltsupps.com,Protein Supplements,35.6g,2.6 out of 3,,70 ,60%,24 out of 446 (top third within category),43 out of 4597 (top third of all products),April 17,2022,https://instagram.com/htltsupps,,2,120,25.00g,83%,70%,100%,8,7,83,"Casein and Whey Protein contains 120 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
50/50 Formula X Protein,Apollon Nutrition,https://www.apollonnutrition.com/,Protein Supplements,36g,2.6 out of 3,,70 ,100%,25 out of 446 (top third within category),44 out of 4597 (top third of all products),October 12,2020,https://instagram.com/apollonnutrition,,2,140,25.00g,71%,69%,100%,19,9,71,"50/50 Formula X Protein contains 140 calories per serving. Of that, fat accounts for 27 calories (3.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  100 calories (25.00g)."
OxyWhey,EHP Labs,https://ehplabs.com,Protein Supplements,31g,2.53 out of 3,,73.33 ,9%,26 out of 446 (top third within category),45 out of 4597 (top third of all products),October 11,2020,https://instagram.com/ehplabs,,3,120,24.00g,80%,77%,100%,8,10,80,"OxyWhey contains 120 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  96 calories (24.00g)."
Mongrel Protein,Rising Labs,https://risinglabsco.com/,Protein Supplements,37g,2.53 out of 3,,73.33 ,73%,27 out of 446 (top third within category),46 out of 4597 (top third of all products),February 26,2021,https://instagram.com/risinglabsco,,3,120,26.00g,87%,70%,100%,4,7,87,"Mongrel Protein contains 120 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  104 calories (26.00g)."
Zero Carb ISOPRO 100% Whey Isolate,Ultimate Sports Nutrition,https://usnfit.com/,Protein Supplements,30g,2.4 out of 3,,80 ,67%,28 out of 446 (top third within category),49 out of 4597 (top third of all products),October 12,2020,https://instagram.com/usnfit,,1,110,27.00g,98%,90%,100%,0,0,98,"Zero Carb ISOPRO 100 Percent Whey Isolate contains 110 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  0 calories (0.00g), and protein accounts for  108 calories (27.00g)."
X Whey,WoD Nutrition,https://wodnutritionx.com,Protein Supplements,33.9g,2.4 out of 3,,80 ,67%,29 out of 446 (top third within category),50 out of 4597 (top third of all products),June 28,2021,https://instagram.com/wodnutritionx,,2,130,25.00g,77%,74%,100%,14,6,77,"X Whey contains 130 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
Winners Whey,Winners Nutrition,https://www.winnersnutrition.com,Protein Supplements,30.2g,2.4 out of 3,,80 ,75%,30 out of 446 (top third within category),51 out of 4597 (top third of all products),July 15,2021,https://instagram.com/winnersnutrition,,1,,g,74%,79%,100%,17,12,74,"Winners Whey contains  calories per serving. Of that, fat accounts for 0 calories (g), carbohydrates account for  0 calories (g), and protein accounts for  0 calories (g)."
Whey Wild,NutriFierce,https://www.nutrifierce.com,Protein Supplements,33g,2.4 out of 3,,80 ,80%,31 out of 446 (top third within category),52 out of 4597 (top third of all products),November 28,2020,https://instagram.com/nutrifiercesupp,,1,120,23.00g,77%,70%,100%,8,3,77,"Whey Wild contains 120 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  4 calories (1.00g), and protein accounts for  92 calories (23.00g)."
Whey Tech Pro 24,Bodytech,https://www.vitaminshoppe.com/lp/bodytech,Protein Supplements,32g,2.4 out of 3,,80 ,60%,32 out of 446 (top third within category),53 out of 4597 (top third of all products),March 30,2021,,,2,120,24.00g,80%,75%,100%,8,7,80,"Whey Tech Pro 24 contains 120 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  8 calories (2.00g), and protein accounts for  96 calories (24.00g)."
Whey Protein Powder,Cellucor,https://c4energy.com/,Protein Supplements,33g,2.4 out of 3,,80 ,0%,33 out of 446 (top third within category),54 out of 4597 (top third of all products),September 05,2020,https://instagram.com/cellucor,,2,120,24.00g,80%,73%,100%,11,10,80,"Whey Protein Powder contains 120 calories per serving. Of that, fat accounts for 13.5 calories (1.500g), carbohydrates account for  12 calories (3.00g), and protein accounts for  96 calories (24.00g)."
Whey Protein Isolate,Dexter Jackson Signature Series,https://dextersupplements.com,Protein Supplements,31g,2.4 out of 3,,80 ,60%,34 out of 446 (top third within category),55 out of 4597 (top third of all products),October 03,2021,https://instagram.com/dextersupplements,,2,110,25.00g,91%,81%,100%,4,7,91,"Whey Protein Isolate contains 110 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
Whey Protein Isolate,Bodytech,https://www.vitaminshoppe.com/lp/bodytech,Protein Supplements,31.62g,2.4 out of 3,,80 ,75%,35 out of 446 (top third within category),56 out of 4597 (top third of all products),March 30,2021,,,1,110,25.00g,91%,79%,100%,8,11,91,"Whey Protein Isolate contains 110 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  100 calories (25.00g)."
Whey Protein Isolate,EarthNutri,https://earthnutri.com,Protein Supplements,33.9g,2.4 out of 3,,80 ,100%,36 out of 446 (top third within category),57 out of 4597 (top third of all products),April 04,2021,https://instagram.com/earthnutri,,1,120,25.00g,83%,74%,0%,4,13,83,"Whey Protein Isolate contains 120 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  16 calories (4.00g), and protein accounts for  100 calories (25.00g)."
Whey Protein Isolate,Be Empowered,https://beempowerednutrition.com,Protein Supplements,28.3g,2.4 out of 3,,80 ,83%,37 out of 446 (top third within category),58 out of 4597 (top third of all products),April 06,2021,https://instagram.com/be.empowered.nutrition,,1,100,24.00g,96%,85%,100%,0,0,96,"Whey Protein Isolate contains 100 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  0 calories (0.00g), and protein accounts for  96 calories (24.00g)."
Whey Protein Isolate,Iron Forged Nutrition,https://ironforgednutrition.com,Protein Supplements,32g,2.4 out of 3,,80 ,100%,38 out of 446 (top third within category),59 out of 4597 (top third of all products),January 04,2021,https://instagram.com/ironforgednutrition,,1,120,25.50g,85%,80%,33%,4,7,85,"Whey Protein Isolate contains 120 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  102 calories (25.50g)."
Whey Protein Concentrate,Sheer Strength Labs,https://www.sheerstrengthlabs.com,Protein Supplements,29.3g,2.4 out of 3,,80 ,67%,39 out of 446 (top third within category),60 out of 4597 (top third of all products),January 23,2022,https://instagram.com/sheerstrengthlabs,,1,110,21.00g,76%,72%,100%,16,11,76,"Whey Protein Concentrate contains 110 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  84 calories (21.00g)."
Whey Protein Concentrate,Iron Forged Nutrition,https://ironforgednutrition.com,Protein Supplements,35.42g,2.4 out of 3,,80 ,100%,40 out of 446 (top third within category),61 out of 4597 (top third of all products),January 04,2021,https://instagram.com/ironforgednutrition,,1,130,25.50g,78%,72%,33%,17,8,78,"Whey Protein Concentrate contains 130 calories per serving. Of that, fat accounts for 22.5 calories (2.500g), carbohydrates account for  10 calories (2.50g), and protein accounts for  102 calories (25.50g)."
Whey Protein,Bodytech,https://www.vitaminshoppe.com/lp/bodytech,Protein Supplements,25g,2.4 out of 3,,80 ,75%,41 out of 446 (top third within category),62 out of 4597 (top third of all products),March 30,2021,,,1,90,17.00g,76%,68%,100%,20,13,76,"Whey Protein contains 90 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  68 calories (17.00g)."
Whey Protein,Leo Supplements,https://leosupplements.com,Protein Supplements,33.9g,2.4 out of 3,,80 ,36%,42 out of 446 (top third within category),63 out of 4597 (top third of all products),January 02,2021,https://instagram.com/leosupplements,,2,130,25.00g,77%,74%,100%,14,6,77,"Whey Protein contains 130 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
Whey Protein,Anabolic Warfare,https://anabolicwarfare.com/,Protein Supplements,32.6g,2.4 out of 3,,80 ,100%,43 out of 446 (top third within category),64 out of 4597 (top third of all products),September 05,2020,https://instagram.com/anabolicwarfare,,2,120,24.00g,80%,74%,33%,8,10,80,"Whey Protein contains 120 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  96 calories (24.00g)."
Whey Protein,Stacker2 Europe,https://www.stacker2europe.com,Protein Supplements,30g,2.4 out of 3,,80 ,0%,44 out of 446 (top third within category),65 out of 4597 (top third of all products),January 19,2020,https://instagram.com/stacker2europe,,1,119,27.00g,91%,90%,100%,8,3,91,"Whey Protein contains 119 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  4 calories (1.00g), and protein accounts for  108 calories (27.00g)."
Whey Plus,Legion Athletics,https://legionathletics.com,Protein Supplements,28.9g,2.4 out of 3,,80 ,75%,45 out of 446 (top third within category),66 out of 4597 (top third of all products),August 25,2020,https://instagram.com/legionath,,1,100,22.00g,88%,76%,100%,0,12,88,"Whey Plus contains 100 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  88 calories (22.00g)."
Whey Isolate Protein,Bloom Nutrition,https://bloomnu.com/,Protein Supplements,27.6g,2.4 out of 3,,80 ,67%,46 out of 446 (top third within category),67 out of 4597 (top third of all products),August 29,2020,https://instagram.com/bloomsupps,,1,110,22.00g,80%,80%,100%,0,18,80,"Whey Isolate Protein contains 110 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  20 calories (5.00g), and protein accounts for  88 calories (22.00g)."
Whey Isolate,Frag Supplements,https://www.fragsupplements.com/,Protein Supplements,30g,2.4 out of 3,,80 ,83%,47 out of 446 (top third within category),68 out of 4597 (top third of all products),March 13,2021,https://instagram.com/fragsupplements,,1,110,25.00g,91%,83%,100%,0,11,91,"Whey Isolate contains 110 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  100 calories (25.00g)."
Whey Isolate,Pro Supps,https://www.prosupps.com,Protein Supplements,32.1g,2.4 out of 3,,80 ,60%,48 out of 446 (top third within category),69 out of 4597 (top third of all products),March 29,2021,https://instagram.com/prosupps,,1,110,25.00g,91%,78%,100%,4,7,91,"Whey Isolate contains 110 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
Whey Gold,Dexter Jackson Signature Series,https://dextersupplements.com,Protein Supplements,34g,2.4 out of 3,,80 ,40%,49 out of 446 (top third within category),70 out of 4597 (top third of all products),October 03,2021,https://instagram.com/dextersupplements,,3,130,24.00g,74%,71%,100%,17,9,74,"Whey Gold contains 130 calories per serving. Of that, fat accounts for 22.5 calories (2.500g), carbohydrates account for  12 calories (3.00g), and protein accounts for  96 calories (24.00g)."
Whey 80,Conteh Sports,https://contehsports.com,Protein Supplements,25g,2.4 out of 3,,80 ,100%,50 out of 446 (top third within category),71 out of 4597 (top third of all products),March 26,2021,https://instagram.com/contehsports,,1,99,18.83g,76%,75%,33%,16,8,76,"Whey 80 contains 99 calories per serving. Of that, fat accounts for 15.75 calories (1.750g), carbohydrates account for  8 calories (2.00g), and protein accounts for  75.32 calories (18.83g)."
Whey,Naughty Boy Lifestyle,https://naughtyboylifestyle.com/,Protein Supplements,33.3g,2.4 out of 3,,80 ,100%,51 out of 446 (top third within category),72 out of 4597 (top third of all products),November 05,2022,https://instagram.com/naughtyboylifestyle,,3,126.5,27.00g,85%,81%,33%,0,9,85,"Whey contains 126.5 calories per serving. Of that, fat accounts for 0.45 calories (0.050g), carbohydrates account for  12 calories (3.00g), and protein accounts for  108 calories (27.00g)."
Veterans Day Impact Whey Isolate,Myprotein,https://www.myprotein.com,Protein Supplements,25g,2.4 out of 3,,80 ,0%,52 out of 446 (top third within category),73 out of 4597 (top third of all products),August 29,2020,https://instagram.com/myproteinus,,1,90,21.00g,93%,84%,100%,5,9,93,"Veterans Day Impact Whey Isolate contains 90 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  84 calories (21.00g)."
Vascular Whey,Vascular Nutrition,https://www.vascularnutrition.com/,Protein Supplements,36.9g,2.4 out of 3,,80 ,33%,53 out of 446 (top third within category),74 out of 4597 (top third of all products),November 30,2020,https://instagram.com/vascularnutrition,,1,140,30.00g,86%,81%,100%,0,9,86,"Vascular Whey contains 140 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  120 calories (30.00g)."
V1 Protein,V1 Nutra,https://v1nutra.com,Protein Supplements,32g,2.4 out of 3,,80 ,33%,54 out of 446 (top third within category),75 out of 4597 (top third of all products),November 03,2022,https://instagram.com/v1nutra,,2,130,25.00g,77%,78%,100%,14,9,77,"V1 Protein contains 130 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  100 calories (25.00g)."
Tower Guard Zeal,Kingdom Nutrition,https://kingdomnutrition.com,Protein Supplements,43.4g,2.4 out of 3,,80 ,80%,55 out of 446 (top third within category),76 out of 4597 (top third of all products),October 03,2020,https://instagram.com/kingdomnutrition,,1,160,30.00g,75%,69%,100%,6,20,75,"Tower Guard Zeal contains 160 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  32 calories (8.00g), and protein accounts for  120 calories (30.00g)."
THE Whey,Myprotein,https://www.myprotein.com,Protein Supplements,32g,2.4 out of 3,,80 ,0%,56 out of 446 (top third within category),77 out of 4597 (top third of all products),August 29,2020,https://instagram.com/myproteinus,,3,120,25.00g,83%,78%,100%,11,7,83,"THE Whey contains 120 calories per serving. Of that, fat accounts for 13.5 calories (1.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
The ISO:Whey,Myprotein,https://www.myprotein.com,Protein Supplements,30g,2.4 out of 3,,80 ,0%,57 out of 446 (top third within category),78 out of 4597 (top third of all products),August 29,2020,https://instagram.com/myproteinus,,1,110,25.00g,91%,83%,100%,4,7,91,"The ISO:Whey contains 110 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
TB12 Whey Protein Isolate,TB12,https://tb12sports.com,Protein Supplements,22g,2.4 out of 3,,80 ,0%,58 out of 446 (top third within category),79 out of 4597 (top third of all products),September 07,2020,https://instagram.com/tb12sports,,1,80,20.00g,100%,91%,100%,0,0,100,"TB12 Whey Protein Isolate contains 80 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  0 calories (0.00g), and protein accounts for  80 calories (20.00g)."
Superhuman Protein,Alpha Lion,https://www.alphalion.com/,Protein Supplements,37g,2.4 out of 3,,80 ,100%,59 out of 446 (top third within category),80 out of 4597 (top third of all products),December 16,2020,https://instagram.com/alpha.lion,,1,150,27.00g,72%,73%,0%,12,21,72,"Superhuman Protein contains 150 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  32 calories (8.00g), and protein accounts for  108 calories (27.00g)."
Slim Whey,LA Muscle,https://lamuscle.com,Protein Supplements,70g,2.4 out of 3,,80 ,50%,60 out of 446 (top third within category),81 out of 4597 (top third of all products),January 05,2021,https://instagram.com/lamuscle_usa,,2,260,50.00g,77%,71%,100%,14,11,77,"Slim Whey contains 260 calories per serving. Of that, fat accounts for 36 calories (4.000g), carbohydrates account for  28 calories (7.00g), and protein accounts for  200 calories (50.00g)."
Signature 100% Whey Protein,BodyBuilding.com,https://www.bodybuilding.com,Protein Supplements,34g,2.4 out of 3,,80 ,40%,61 out of 446 (top third within category),82 out of 4597 (top third of all products),March 30,2021,https://instagram.com/bodybuildingcom,,3,130,25.00g,77%,74%,100%,14,9,77,"Signature 100 Percent Whey Protein contains 130 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  100 calories (25.00g)."
Signature 100% Whey Isolate,BodyBuilding.com,https://www.bodybuilding.com,Protein Supplements,30g,2.4 out of 3,,80 ,50%,62 out of 446 (top third within category),83 out of 4597 (top third of all products),March 30,2021,https://instagram.com/bodybuildingcom,,2,110,25.00g,91%,83%,100%,4,7,91,"Signature 100 Percent Whey Isolate contains 110 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
