Product Name,Manufacturer,Manufacturer Website,Supplement Category,Serving Size,Effectiveness Rating,Number of Ingredients,Research Rating,Nutrition Label Transparency Score,Ranking within Supplement Category,Ranking within all Supplement Products,Updated Month Day,Updated Year,Manufacturer Social Media,Similarity Index,Number of Active Ingredients,Calories per Serving,Protein per Serving,Protein Percent of Calories,Protein Percent of Serving Size,Nutrition Label Fat Content Transparency Score,Fat (%),Carbohydrates (%),Protein (%),Macros details
Geekd,Legacy,https://legacysupps.net,Cognitive Enhancement Supplements,5.5g,2.06 out of 3,12,38 ,100%,11 out of 147 (top third within category),"609 out of 4,597 (top third of all products)",December 11,2021,https://instagram.com/legacysupps,,,,,,,,,,,
Genous,Apollos Hegemony,https://apollos-hegemony.com,Cognitive Enhancement Supplements,"1 capsule
",2.05 out of 3,5,34 ,100%,12 out of 147 (top third within category),"623 out of 4,597 (top third of all products)",March 26,2021,https://instagram.com/apollos_hegemony,,,,,,,,,,,
Supersonic Freak,PharmaFreak,https://pharmafreak.com,Cognitive Enhancement Supplements,"1 capsule
",2.00 out of 3,4,47 ,100%,13 out of 147 (top third within category),"671 out of 4,597 (top third of all products)",November 03,2022,https://instagram.com/pharmafreak,,,,,,,,,,,
Triumph,Triump Supplements,https://triumphsupps.com/,Cognitive Enhancement Supplements,7.46g,1.94 out of 3,6,48 ,100%,14 out of 147 (top third within category),"733 out of 4,597 (top third of all products)",March 09,2021,https://instagram.com/triumphsupps,,,,,,,,,,,
Cannibcal Genius,Chaos and Pain,https://www.chaosandpain.com,Cognitive Enhancement Supplements,"8 capsules
",1.93 out of 3,8,41 ,100%,15 out of 147 (top third within category),"756 out of 4,597 (top third of all products)",December 07,2020,https://instagram.com/chaosandpain,,,,,,,,,,,
Clarity,Arms Race Nutrition,https://www.armsracenutrition.com/,Cognitive Enhancement Supplements,9.2g,1.91 out of 3,13,33 ,100%,16 out of 147 (top third within category),"769 out of 4,597 (top third of all products)",November 03,2022,https://instagram.com/armsracenutrition,,,,,,,,,,,
Mastermind,Apollos Hegemony,https://apollos-hegemony.com,Cognitive Enhancement Supplements,6.4g,1.90 out of 3,11,33 ,100%,17 out of 147 (top third within category),"779 out of 4,597 (top third of all products)",March 26,2021,https://instagram.com/apollos_hegemony,,,,,,,,,,,
R-Weiler Focus,Olimp Sport Nutrition,https://olimpsport.com,Cognitive Enhancement Supplements,12g,1.88 out of 3,10,55 ,100%,18 out of 147 (top third within category),"805 out of 4,597 (top third of all products)",March 09,2021,https://instagram.com/olimp_sport_nutrition,,,,,,,,,,,
Infinite Brain,Psycho Pharma,https://www.psychopharma.com/,Cognitive Enhancement Supplements,3.9g,1.88 out of 3,11,33 ,100%,19 out of 147 (top third within category),"810 out of 4,597 (top third of all products)",January 19,2020,https://instagram.com/psychopharma,,,,,,,,,,,
Genius Consciousness,The Genius Brand,https://thegeniusbrand.com,Cognitive Enhancement Supplements,5.3g,1.87 out of 3,10,32 ,100%,20 out of 147 (top third within category),"820 out of 4,597 (top third of all products)",May 28,2019,https://instagram.com/thegeniusbrand,,,,,,,,,,,
Vivid,Forge Supplements,https://forgesupps.com,Cognitive Enhancement Supplements,"2 capsules
",1.79 out of 3,10,39 ,100%,21 out of 147 (top third within category),"878 out of 4,597 (top third of all products)",July 28,2020,https://instagram.com/forgesupps,,,,,,,,,,,
Overtime Endless Energy,Apollon Nutrition,https://www.apollonnutrition.com/,Cognitive Enhancement Supplements,"6 capsules
",1.78 out of 3,10,27 ,100%,22 out of 147 (top third within category),"883 out of 4,597 (top third of all products)",July 16,2020,https://instagram.com/apollonnutrition,,,,,,,,,,,
Sharp,Bowmar Nutrition,https://bowmarnutrition.com/,Cognitive Enhancement Supplements,10.1g,1.76 out of 3,8,46 ,100%,23 out of 147 (top third within category),"893 out of 4,597 (top third of all products)",November 26,2020,https://instagram.com/bowmar_nutrition,,,,,,,,,,,
Special Forces,Gain Busters,https://gainbusters.com,Cognitive Enhancement Supplements,"1 capsule
",2.60 out of 3,6,28 ,100%,24 out of 147 (top third within category),"946 out of 4,597 (top third of all products)",August 24,2020,,,,,,,,,,,,
Brainz,Spitfire Labs,https://www.a1supplements.com/brands/spitfire-labs,Cognitive Enhancement Supplements,"1 capsule
",2.33 out of 3,6,32 ,100%,25 out of 147 (top third within category),"1,002 out of 4,597 (top third of all products)",April 02,2021,,,,,,,,,,,,
Mental Stack,Fitness Stacks,https://fitness-stacks.com,Cognitive Enhancement Supplements,"2 capsules
",2.30 out of 3,9,28 ,100%,26 out of 147 (top third within category),"1,018 out of 4,597 (top third of all products)",October 16,2021,https://instagram.com/fitnessstacks,,,,,,,,,,,
Socrates,God Status Labz,https://godstatuslabz.com/,Cognitive Enhancement Supplements,"2 capsules
",2.27 out of 3,7,11 ,100%,27 out of 147 (top third within category),"1,043 out of 4,597 (top third of all products)",December 26,2020,https://instagram.com/godstatuslabz,,,,,,,,,,,
Utopia,De Novo Nutrition,https://denovosupps.com/,Cognitive Enhancement Supplements,3.5g,2.20 out of 3,5,59 ,100%,28 out of 147 (top third within category),"1,100 out of 4,597 (top third of all products)",March 29,2020,,,,,,,,,,,,
Unfair Advantage,Bulletproof,https://www.bulletproof.com/,Cognitive Enhancement Supplements,"1 pack
",2.15 out of 3,3,28 ,100%,29 out of 147 (top third within category),"1,158 out of 4,597 (top third of all products)",July 11,2022,https://instagram.com/bulletproof,,,,,,,,,,,
VFocus,Vegun Nutrition,https://vegunnutrition.com,Cognitive Enhancement Supplements,4g,2.12 out of 3,10,35 ,100%,30 out of 147 (top third within category),"1,202 out of 4,597 (top third of all products)",November 03,2019,https://instagram.com/vegunnutrition,,,,,,,,,,,
Prodigy,Iron Brother Supplements,https://www.ironbrothers.com/,Cognitive Enhancement Supplements,"4 capsules
",2.11 out of 3,8,42 ,100%,31 out of 147 (top third within category),"1,214 out of 4,597 (top third of all products)",March 19,2020,https://instagram.com/ironbrotherssupplements,,,,,,,,,,,
Neuro Beast,Beast Sports Nutrition,https://beastsports.com/,Cognitive Enhancement Supplements,"3 capsules
",2.09 out of 3,11,37 ,100%,32 out of 147 (top third within category),"1,245 out of 4,597 (top third of all products)",May 20,2020,https://instagram.com/beastsportsnutrition,,,,,,,,,,,
ebrain,Iron Kingdom,https://www.ironkingdom.com,Cognitive Enhancement Supplements,"4 capsules
",2.03 out of 3,11,37 ,100%,33 out of 147 (top third within category),"1,327 out of 4,597 (top third of all products)",November 18,2021,https://instagram.com/ironkingdomnutrition,,,,,,,,,,,
Orange BrainWash,Controlled Labs,https://www.controlledlabs.com,Cognitive Enhancement Supplements,8g,2.01 out of 3,11,36 ,100%,34 out of 147 (top third within category),"1,358 out of 4,597 (top third of all products)",March 31,2021,https://instagram.com/controlledlabs,,,,,,,,,,,
Noocor Complete,Noocor,https://www.noocor.com,Cognitive Enhancement Supplements,"3 capsules
",2.01 out of 3,15,33 ,100%,35 out of 147 (top third within category),"1,359 out of 4,597 (top third of all products)",January 02,2020,,,,,,,,,,,,
Adrenolyn Nootropic,Black Market,https://blackmarketlabs.com/,Cognitive Enhancement Supplements,15.27g,2.01 out of 3,15,37 ,100%,36 out of 147 (top third within category),"1,369 out of 4,597 (top third of all products)",November 06,2020,https://instagram.com/blackmarketlabs,,,,,,,,,,,
Brain Fuel,Apollos Hegemony,https://apollos-hegemony.com,Cognitive Enhancement Supplements,"1 capsule
",2.00 out of 3,4,42 ,100%,37 out of 147 (top third within category),"1,396 out of 4,597 (top third of all products)",March 26,2021,https://instagram.com/apollos_hegemony,,,,,,,,,,,
Wiseguy,Naughty Boy Lifestyle,https://naughtyboylifestyle.com/,Cognitive Enhancement Supplements,7g,1.99 out of 3,14,34 ,86%,38 out of 147 (top third within category),"1,405 out of 4,597 (top third of all products)",November 06,2022,https://instagram.com/naughtyboylifestyle,,,,,,,,,,,
In Focus,Bare Performance Nutrition,https://www.bareperformancenutrition.com/,Cognitive Enhancement Supplements,3.2g,1.98 out of 3,6,45 ,100%,39 out of 147 (top third within category),"1,444 out of 4,597 (top third of all products)",September 12,2019,https://instagram.com/bpnsupps,,,,,,,,,,,
Performance Nootropic,Clinical Labs,https://clinicallabssupplements.com,Cognitive Enhancement Supplements,"4 capsules
",1.97 out of 3,4,21 ,100%,40 out of 147 (top third within category),"1,473 out of 4,597 (top third of all products)",November 28,2020,https://instagram.com/clinical_labs,,,,,,,,,,,
NeuroCharge,Outten Fit Nutrition,https://www.outtenfitnutrition.com/,Cognitive Enhancement Supplements,"3 capsules
",1.96 out of 3,10,33 ,100%,41 out of 147 (top third within category),"1,490 out of 4,597 (top third of all products)",September 08,2019,https://instagram.com/outtenfit_nutrition,,,,,,,,,,,
Adrinall,Glaxon,,Cognitive Enhancement Supplements,2.1g,1.95 out of 3,16,29 ,100%,42 out of 147 (top third within category),"1,527 out of 4,597 (top third of all products)",December 29,2019,https://instagram.com/iamglaxon,,,,,,,,,,,
Mental Warfare,Chemical Warfare,https://chemical-warfareusa.com,Cognitive Enhancement Supplements,"2 capsules
",1.93 out of 3,6,55 ,100%,43 out of 147 (top third within category),"1,575 out of 4,597 (middle third of all products)",October 10,2020,https://instagram.com/chemicalwarfaresupps_usa,,,,,,,,,,,
Actual Intelligence,Axe and Sledge,https://axeandsledge.com/,Cognitive Enhancement Supplements,"2 capsules
",1.92 out of 3,8,33 ,100%,44 out of 147 (top third within category),"1,614 out of 4,597 (middle third of all products)",November 13,2022,https://instagram.com/axeandsledge,,,,,,,,,,,
LumUltra Prep,Avanse Nutraceuticals,https://www.lumultra.com,Cognitive Enhancement Supplements,"1 capsule
",1.87 out of 3,8,30 ,100%,45 out of 147 (top third within category),"1,728 out of 4,597 (middle third of all products)",September 27,2020,https://instagram.com/lumultra,,,,,,,,,,,
Le Royal,Koka Labz,https://kokalabz.com,Cognitive Enhancement Supplements,14.7g,1.86 out of 3,11,35 ,100%,46 out of 147 (top third within category),"1,751 out of 4,597 (middle third of all products)",January 04,2022,https://instagram.com/kokalabz,,,,,,,,,,,
NEURO FITT Advanced Synergistic Nootropic,Nutrifitt,https://www.nutrifitt.net,Cognitive Enhancement Supplements,"3 capsules
",1.85 out of 3,20,27 ,100%,47 out of 147 (top third within category),"1,771 out of 4,597 (middle third of all products)",December 27,2020,https://instagram.com/nutrifittlabs,,,,,,,,,,,
Ninja Mode,Ninja,https://ninjaup.com,Cognitive Enhancement Supplements,7g,1.83 out of 3,18,28 ,100%,48 out of 147 (top third within category),"1,823 out of 4,597 (middle third of all products)",July 21,2022,https://instagram.com/ninja.up,,,,,,,,,,,
Core Zone,Core Nutritionals,https://www.corenutritionals.com/,Cognitive Enhancement Supplements,8g,1.83 out of 3,16,37 ,100%,49 out of 147 (top third within category),"1,831 out of 4,597 (middle third of all products)",December 18,2020,https://instagram.com/corenutritionals,,,,,,,,,,,
Retro Active,Obsessed Nutrition,https://obsessed-nutrition.com/,Cognitive Enhancement Supplements,6.4g,1.80 out of 3,6,44 ,100%,50 out of 147 (middle third within category),"1,895 out of 4,597 (middle third of all products)",January 17,2021,https://instagram.com/obsessednutrition,,,,,,,,,,,
Focus,Panda Supplements,https://www.pandasupps.com,Cognitive Enhancement Supplements,4g,1.80 out of 3,9,30 ,100%,51 out of 147 (middle third within category),"1,906 out of 4,597 (middle third of all products)",March 25,2021,https://instagram.com/pandasupps,,,,,,,,,,,
Energy Focus,EarthNutri,https://earthnutri.com,Cognitive Enhancement Supplements,8.6g,1.80 out of 3,7,57 ,100%,52 out of 147 (middle third within category),"1,909 out of 4,597 (middle third of all products)",April 04,2021,https://instagram.com/earthnutri,,,,,,,,,,,
Addicted,Obsessed Nutrition,https://obsessed-nutrition.com/,Cognitive Enhancement Supplements,5.88g,1.80 out of 3,7,44 ,100%,53 out of 147 (middle third within category),"1,920 out of 4,597 (middle third of all products)",January 17,2021,https://instagram.com/obsessednutrition,,,,,,,,,,,
Think Tank Nootropic,Apocalypse Labz,,Cognitive Enhancement Supplements,"3 capsules
",1.79 out of 3,9,33 ,100%,54 out of 147 (middle third within category),"1,922 out of 4,597 (middle third of all products)",July 07,2020,https://instagram.com/apocalypselabz,,,,,,,,,,,
Jocko Discipline Go,Origin Labs,https://originmaine.com/nutrition/jocko-fuel/,Cognitive Enhancement Supplements,"3 capsules
",1.79 out of 3,13,35 ,100%,55 out of 147 (middle third within category),"1,930 out of 4,597 (middle third of all products)",November 28,2019,https://instagram.com/jockofuel,,,,,,,,,,,
Brain Booster,QRP Nutrition,https://www.qrpnutrition.com,Cognitive Enhancement Supplements,"2 capsules
",1.76 out of 3,15,28 ,100%,56 out of 147 (middle third within category),"2,023 out of 4,597 (middle third of all products)",January 17,2021,https://instagram.com/qrp.nutrition,,,,,,,,,,,
Mane Brain,Nutrithority,https://nutrithority.com/,Cognitive Enhancement Supplements,"4 capsules
",1.75 out of 3,3,27 ,100%,57 out of 147 (middle third within category),"2,032 out of 4,597 (middle third of all products)",June 02,2020,,,,,,,,,,,,
Magic Mushies,Magic Sports Nutrition,https://www.magicsportsnutrition.com,Cognitive Enhancement Supplements,5g,1.74 out of 3,14,34 ,100%,58 out of 147 (middle third within category),"2,051 out of 4,597 (middle third of all products)",March 10,2021,https://instagram.com/magicnutrition,,,,,,,,,,,
Mental Edge,Lions Fuel,https://www.lionsfuel.com,Cognitive Enhancement Supplements,"1 capsule
",1.73 out of 3,3,61 ,0%,59 out of 147 (middle third within category),"2,070 out of 4,597 (middle third of all products)",March 25,2021,https://instagram.com/lionsfuel9,,,,,,,,,,,
Game Onn,Onnor,https://onnor.co,Cognitive Enhancement Supplements,"3 capsules
",1.73 out of 3,9,37 ,100%,60 out of 147 (middle third within category),"2,077 out of 4,597 (middle third of all products)",August 09,2020,https://instagram.com/onnor,,,,,,,,,,,
Zenith,Leviathan Nutrition,https://leviathan-nutrition.com,Cognitive Enhancement Supplements,"6 capsules
",1.71 out of 3,10,31 ,100%,61 out of 147 (middle third within category),"2,092 out of 4,597 (middle third of all products)",April 09,2021,https://instagram.com/leviathannutrition,,,,,,,,,,,
Cognetics Excel,Cognetics,https://cogneticsgroup.com/,Cognitive Enhancement Supplements,"4 capsules
",1.70 out of 3,9,28 ,100%,62 out of 147 (middle third within category),"2,123 out of 4,597 (middle third of all products)",July 14,2020,https://instagram.com/cogneticsgroup,,,,,,,,,,,
Synermag,ATP Lab,https://atplab.com,Cognitive Enhancement Supplements,"1 capsule
",1.67 out of 3,3,26 ,100%,63 out of 147 (middle third within category),"2,148 out of 4,597 (middle third of all products)",October 07,2020,https://instagram.com/atp_labs,,,,,,,,,,,
Blend,NorthBound Nutrition,https://northboundnutrition.com,Cognitive Enhancement Supplements,11g,1.66 out of 3,8,39 ,100%,64 out of 147 (middle third within category),"2,171 out of 4,597 (middle third of all products)",June 27,2021,https://instagram.com/northboundnutrition,,,,,,,,,,,
Brain Fuel V2,Apollos Hegemony,https://apollos-hegemony.com,Cognitive Enhancement Supplements,"1 capsule
",1.65 out of 3,4,46 ,100%,65 out of 147 (middle third within category),"2,179 out of 4,597 (middle third of all products)",March 26,2021,https://instagram.com/apollos_hegemony,,,,,,,,,,,
The Edge,Fueled Supplements,https://www.fueledsupplements.com,Cognitive Enhancement Supplements,6.2g,1.64 out of 3,9,37 ,100%,66 out of 147 (middle third within category),"2,182 out of 4,597 (middle third of all products)",January 04,2022,https://instagram.com/fueledsupplements,,,,,,,,,,,
Morphobrain,Morphogen Nutrition,https://www.morphogennutrition.com,Cognitive Enhancement Supplements,"6 capsules
",2.40 out of 3,6,34 ,100%,67 out of 147 (middle third within category),"2,328 out of 4,597 (middle third of all products)",August 24,2020,https://instagram.com/morphogen_nutrition,,,,,,,,,,,
TB12 Focus,TB12,https://tb12sports.com,Cognitive Enhancement Supplements,"3 capsules
",2.25 out of 3,6,15 ,100%,68 out of 147 (middle third within category),"2,376 out of 4,597 (middle third of all products)",August 22,2020,https://instagram.com/tb12sports,,,,,,,,,,,
Mental Freak,PharmaFreak,https://pharmafreak.com,Cognitive Enhancement Supplements,"4 capsules
",2.20 out of 3,9,14 ,78%,69 out of 147 (middle third within category),"2,398 out of 4,597 (middle third of all products)",November 03,2022,https://instagram.com/pharmafreak,,,,,,,,,,,
Mental Trigger - Focus Formula,REDCON1,https://redcon1.com/,Cognitive Enhancement Supplements,"2 capsules
",2.04 out of 3,6,39 ,100%,70 out of 147 (middle third within category),"2,534 out of 4,597 (middle third of all products)",March 22,2020,https://instagram.com/redcon1,,,,,,,,,,,
GRIND,Team Muscle Force,https://teammuscleforce.com,Cognitive Enhancement Supplements,"2 capsules
",2.04 out of 3,12,22 ,100%,71 out of 147 (middle third within category),"2,540 out of 4,597 (middle third of all products)",December 21,2020,https://instagram.com/team_muscleforce,,,,,,,,,,,
Cerebro,Strike First Nutrition,https://strikefirstnutrition.com,Cognitive Enhancement Supplements,"1 capsule
",2.04 out of 3,7,38 ,43%,72 out of 147 (middle third within category),"2,543 out of 4,597 (middle third of all products)",February 27,2021,https://instagram.com/strikefirst,,,,,,,,,,,
Neurovana,Seva Soul,https://sevasoulhealth.com/,Cognitive Enhancement Supplements,6g,2.00 out of 3,6,27 ,17%,73 out of 147 (middle third within category),"2,616 out of 4,597 (middle third of all products)",March 20,2020,,,,,,,,,,,,
Brain Waves,Black Magic Supply,https://www.blackmagicsupps.com,Cognitive Enhancement Supplements,"4 capsules
",1.97 out of 3,15,31 ,40%,74 out of 147 (middle third within category),"2,683 out of 4,597 (middle third of all products)",January 23,2021,https://instagram.com/blackmagic.supply,,,,,,,,,,,
Mental Jewels (Powder),Ambrosia Collective,https://ambrosiacollective.com,Cognitive Enhancement Supplements,6.17g,1.96 out of 3,9,41 ,100%,75 out of 147 (middle third within category),"2,692 out of 4,597 (middle third of all products)",November 26,2020,https://instagram.com/the_ambrosia_collective,Mental Jewels (Powder) shares at least 75% of its ingredient profile with one other product,,,,,,,,,,
Mental Jewels (Capsule),Ambrosia Collective,https://ambrosiacollective.com,Cognitive Enhancement Supplements,"4 capsules
",1.96 out of 3,9,41 ,100%,76 out of 147 (middle third within category),"2,693 out of 4,597 (middle third of all products)",November 26,2020,https://instagram.com/the_ambrosia_collective,Mental Jewels (Capsule) shares at least 75% of its ingredient profile with one other product,,,,,,,,,,
Braintain,Braintain,https://braintainme.com/,Cognitive Enhancement Supplements,"2 capsules
",1.95 out of 3,13,24 ,46%,77 out of 147 (middle third within category),"2,720 out of 4,597 (middle third of all products)",March 20,2020,,,,,,,,,,,,
New Skill,WTF Labz,https://wtflabz.com/,Cognitive Enhancement Supplements,720mg,1.90 out of 3,5,9 ,0%,78 out of 147 (middle third within category),"2,822 out of 4,597 (middle third of all products)",January 24,2021,https://instagram.com/wtflabz,,,,,,,,,,,
Crit,Blackstone Labs,https://blackstonelabs.com/,Cognitive Enhancement Supplements,4g,1.90 out of 3,6,43 ,100%,79 out of 147 (middle third within category),"2,829 out of 4,597 (middle third of all products)",December 29,2019,https://instagram.com/blackstonelabs_official,,,,,,,,,,,
Ascent,Bionic Nutrition,https://www.bionicnutrition.com/,Cognitive Enhancement Supplements,"2 capsules
",1.89 out of 3,14,26 ,100%,80 out of 147 (middle third within category),"2,852 out of 4,597 (middle third of all products)",July 14,2020,https://instagram.com/bionic.nutrition,,,,,,,,,,,
Amino IQ,Beyond Yourself,https://beyondyourself.ca/,Cognitive Enhancement Supplements,9.3g,1.88 out of 3,8,37 ,100%,81 out of 147 (middle third within category),"2,871 out of 4,597 (middle third of all products)",March 09,2021,https://instagram.com/beyondyourself_,,,,,,,,,,,
Dopa Rush,Advanced Molecular Labs,https://advancedmolecularlabs.com/,Cognitive Enhancement Supplements,5g,1.85 out of 3,9,37 ,100%,82 out of 147 (middle third within category),"2,895 out of 4,597 (middle third of all products)",April 06,2020,,,,,,,,,,,,
Ninja Limitless,Ninja,https://ninjaup.com,Cognitive Enhancement Supplements,"4 capsules
",1.84 out of 3,16,24 ,100%,83 out of 147 (middle third within category),"2,904 out of 4,597 (middle third of all products)",October 01,2021,https://instagram.com/ninja.up,,,,,,,,,,,
Mainframe,Method Performance Supplements,https://chooseyourmethod.com/,Cognitive Enhancement Supplements,"4 capsules
",1.84 out of 3,11,22 ,100%,84 out of 147 (middle third within category),"2,905 out of 4,597 (middle third of all products)",April 01,2021,https://instagram.com/methodperformance,,,,,,,,,,,
Nootropic,5 Percent Nutrition,https://5percentnutrition.com/,Cognitive Enhancement Supplements,"2 capsules
",1.83 out of 3,4,25 ,100%,85 out of 147 (middle third within category),"2,915 out of 4,597 (middle third of all products)",January 23,2021,https://instagram.com/5percentnutrition,,,,,,,,,,,
Outsmart,Human Performance Solutions,,Cognitive Enhancement Supplements,"2 capsules
",1.82 out of 3,14,39 ,100%,86 out of 147 (middle third within category),"2,927 out of 4,597 (middle third of all products)",January 04,2021,https://instagram.com/humanperformancesolutions,,,,,,,,,,,
Onset,Perfect Sports,https://perfectsports.com,Cognitive Enhancement Supplements,"3 capsules
",1.82 out of 3,6,30 ,100%,87 out of 147 (middle third within category),"2,928 out of 4,597 (middle third of all products)",August 22,2020,https://instagram.com/perfectsportstm,,,,,,,,,,,
Amazing Muscle Focus,Amazing Muscle,https://www.amazingmuscle.com,Cognitive Enhancement Supplements,"2 capsules
",1.82 out of 3,10,33 ,100%,88 out of 147 (middle third within category),"2,935 out of 4,597 (middle third of all products)",December 27,2020,https://instagram.com/officialamazingmuscle,,,,,,,,,,,
Mind Power,Juiced Upp,https://www.juicedupp.com,Cognitive Enhancement Supplements,"1 capsule
",1.81 out of 3,8,28 ,100%,89 out of 147 (middle third within category),"2,945 out of 4,597 (middle third of all products)",February 26,2021,https://instagram.com/juiceduppsupplements,Mind Power shares at least 75% of its ingredient profile with 3 other products,,,,,,,,,,
Blue Star Nutraceuticals Elevate,Blue Star Nutraceuticals,https://www.bluestarnutraceuticals.com,Cognitive Enhancement Supplements,"2 capsules
",1.81 out of 3,14,16 ,64%,90 out of 147 (middle third within category),"2,947 out of 4,597 (middle third of all products)",November 10,2020,https://instagram.com/bluestarnutraceuticals,,,,,,,,,,,
Alpha Mind,Osyris Nutrition Lab,https://www.osyrisnutritionlab.com/,Cognitive Enhancement Supplements,"1 capsule
",1.81 out of 3,8,28 ,100%,91 out of 147 (middle third within category),"2,950 out of 4,597 (middle third of all products)",June 06,2020,https://instagram.com/osyrisnutritionlab,Alpha Mind shares at least 75% of its ingredient profile with 3 other products,,,,,,,,,,
Mammoth Neuro Stim,Mammoth Supplements,https://www.mammothsupplements.com,Cognitive Enhancement Supplements,4g,1.80 out of 3,10,33 ,100%,92 out of 147 (middle third within category),"2,961 out of 4,597 (middle third of all products)",October 11,2020,https://instagram.com/getmammoth,,,,,,,,,,,
Focus Fast,Focus Fast,https://www.focusfast.com,Cognitive Enhancement Supplements,"2 tablets
",1.80 out of 3,38,22 ,29%,93 out of 147 (middle third within category),"2,968 out of 4,597 (middle third of all products)",December 23,2021,https://instagram.com/focus_fast,,,,,,,,,,,
Dadderall,Dadderall,https://dadderall.cc/,Cognitive Enhancement Supplements,12.6g,1.79 out of 3,8,38 ,13%,94 out of 147 (middle third within category),"2,980 out of 4,597 (middle third of all products)",March 31,2020,,,,,,,,,,,,
Tactical Advantage,Hero Fuel,https://www.myherofuel.com,Cognitive Enhancement Supplements,"1 capsule
",1.78 out of 3,8,25 ,100%,95 out of 147 (middle third within category),"2,985 out of 4,597 (middle third of all products)",March 14,2021,https://instagram.com/herofuel,Tactical Advantage shares at least 75% of its ingredient profile with 5 other products,,,,,,,,,,
Warrior Brain Game,Warrior Supplements,https://teamwarrior.com,Cognitive Enhancement Supplements,12g,1.77 out of 3,23,26 ,100%,96 out of 147 (middle third within category),"2,993 out of 4,597 (middle third of all products)",November 25,2020,https://instagram.com/warriorsupps,,,,,,,,,,,
Neuro-Peak,Zhou Nutrition,https://www.zhounutrition.com,Cognitive Enhancement Supplements,"1 capsule
",1.77 out of 3,7,28 ,100%,97 out of 147 (middle third within category),"2,999 out of 4,597 (middle third of all products)",March 24,2021,https://instagram.com/zhou_nutrition,,,,,,,,,,,
Neuro Prime,Orphic Nutrition,https://orphicnutrition.com/,Cognitive Enhancement Supplements,"1 capsule
",1.76 out of 3,7,24 ,100%,98 out of 147 (bottom third within category),"3,494 out of 4,597 (bottom third of all products)",July 28,2020,https://instagram.com/orphicnutrition,Neuro Prime shares at least 75% of its ingredient profile with 3 other products,,,,,,,,,,
Focus,Storm Lifestyles,https://stormlifestyles.com,Cognitive Enhancement Supplements,3.5g,1.76 out of 3,9,33 ,100%,99 out of 147 (bottom third within category),"3,498 out of 4,597 (bottom third of all products)",July 21,2022,https://instagram.com/storm_lifestyle_,,,,,,,,,,,
